Paper Title,Subarea,Detailed Class,Score
Exploring Data Scaling Trends and Effects in Reinforcement Learning from Human Feedback,Capability Control & Unlearning,Alignment Training,4.0
Strategyproof Reinforcement Learning from Human Feedback,Scalable Oversight & Value Learning,Scalable Oversight,5.0
Red-Teaming Text-to-Image Systems by Rule-based Preference Modeling,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Cognitive Mirrors: Exploring the Diverse Functional Roles of Attention Heads in LLM Reasoning,Interpretability & Understanding,Interpretability,3.0
FALCON: Fine-grained Activation Manipulation by Contrastive Orthogonal Unalignment for Large Language Model,Capability Control & Unlearning,Alignment Training,7.0
Detoxifying Large Language Models via Autoregressive Reward Guided Representation Editing,Threat Modeling & Evaluations,Safeguards,6.0
Can DPO Learn Diverse Human Values? A Theoretical Scaling Law,Scalable Oversight & Value Learning,Scalable Oversight,5.0
T2V-OptJail: Discrete Prompt Optimization for Text-to-Video Jailbreak Attacks,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Continuous Concepts Removal in Text-to-image Diffusion Models,Capability Control & Unlearning,Alignment Training,5.0
Language Models Can Predict Their Own Behavior,Interpretability & Understanding,Monitoring,6.0
Shape it Up! Restoring LLM Safety during Finetuning,Capability Control & Unlearning,Alignment Training,7.0
RULE: Reinforcement UnLEarning Achieves Forget-retain Pareto Optimality,Capability Control & Unlearning,Alignment Training,6.0
Safety Depth in Large Language Models: A Markov Chain Perspective,Threat Modeling & Evaluations,Safeguards,7.0
Mitigating Sexual Content Generation via Embedding Distortion in Text-conditioned Diffusion Models,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Do different prompting methods yield a common task representation in language models?,Interpretability & Understanding,Interpretability,3.0
On the Robustness of Transformers against Context Hijacking for Linear Classification,"Robustness, Defense & Systemic Control",Adversarial Robustness,3.0
AgentAuditor: Human-level Safety and Security Evaluation for LLM Agents,Threat Modeling & Evaluations,Dangerous Capability Evals,6.0
Fit the Distribution: Cross-Image/Prompt Adversarial Attacks on Multimodal Large Language Models,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
Interpreting vision transformers via residual replacement model,Interpretability & Understanding,Interpretability,4.0
The Mirage of Performance Gains: Why Contrastive Decoding Fails to Mitigate Object Hallucinations in MLLMs?,Threat Modeling & Evaluations,Safeguards,6.0
Rectifying Shortcut Behaviors in Preference-based Reward Learning,Capability Control & Unlearning,Alignment Training,7.0
SeCon-RAG: A Two-Stage Semantic  Filtering and Conflict-Free Framework for Trustworthy RAG,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Unified Multimodal Chain-of-Thought Reward Model through Reinforcement Fine-Tuning,Capability Control & Unlearning,Alignment Training,5.0
WMCopier: Forging Invisible Watermarks on Arbitrary Images,"Robustness, Defense & Systemic Control",Red-Teaming,3.0
Stackelberg Self-Annotation: A Robust Approach to Data-Efficient LLM Alignment,Capability Control & Unlearning,Alignment Training,4.0
Vision Function Layer in Multimodal LLMs,Interpretability & Understanding,Interpretability,4.0
Robust SuperAlignment: Weak-to-Strong Robustness Generalization for Vision-Language Models,Scalable Oversight & Value Learning,Scalable Oversight,6.0
"More Thinking, Less Seeing? Assessing Amplified Hallucination in Multimodal Reasoning Models",Interpretability & Understanding,Interpretability,5.0
The Future Unmarked: Watermark Removal in AI-Generated Images via Next-Frame Prediction,"Robustness, Defense & Systemic Control",Red-Teaming,7.0
RiOSWorld: Benchmarking the Risk of Multimodal Computer-Use Agents,Threat Modeling & Evaluations,Dangerous Capability Evals,7.0
Interpreting Arithmetic Reasoning in Large Language Models using Game-Theoretic Interactions,Interpretability & Understanding,Interpretability,3.0
"Adjacent Words, Divergent Intents: Jailbreaking Large Language Models via Task Concurrency","Robustness, Defense & Systemic Control",Red-Teaming,7.0
Backdoor Cleaning without External Guidance in MLLM Fine-tuning,"Robustness, Defense & Systemic Control",Adversarial Robustness,7.0
Why and How LLMs Hallucinate: Connecting the Dots with Subsequence Associations,Interpretability & Understanding,Interpretability,5.0
Adaptive Defense against Harmful Fine-Tuning for Large Language Models via Bayesian Data Scheduler,Capability Control & Unlearning,Alignment Training,7.0
Erasing Conceptual Knowledge from Language Models,Capability Control & Unlearning,Alignment Training,7.0
SECA: Semantically Equivalent and Coherent Attacks for Eliciting LLM Hallucinations,"Robustness, Defense & Systemic Control",Adversarial Robustness,5.0
What Makes a Reward Model a Good Teacher? An Optimization Perspective,Capability Control & Unlearning,Alignment Training,6.0
From Judgment to Interference: Early Stopping LLM Harmful Outputs via Streaming Content Monitoring,Threat Modeling & Evaluations,Safeguards,7.0
